Time,X,Y,Z
0,0,0,1
0.01,0.612373,0.612372,1.49951
0.02,1.22475,1.22474,1.99804
0.03,1.83712,1.83712,2.49559
0.04,2.44949,2.44949,2.99215
0.05,3.06186,3.06186,3.48774
0.06,3.67424,3.67423,3.98234
0.07,4.28661,4.28661,4.47596
0.08,4.89898,4.89898,4.96861
0.09,5.51135,5.51135,5.46027
0.1,6.12372,6.12372,5.95095
0.11,6.7361,6.7361,6.44065
0.12,7.34847,7.34847,6.92937
0.13,7.96084,7.96084,7.4171
0.14,8.57321,8.57321,7.90386
0.15,9.18559,9.18559,8.38964
0.16,9.79796,9.79796,8.87443
0.17,10.4103,10.4103,9.35824
0.18,11.0227,11.0227,9.84108
0.19,11.6351,11.6351,10.3229
0.2,12.2475,12.2475,10.8038
0.21,12.8598,12.8598,11.2837
0.22,13.4722,13.4722,11.7626
0.23,14.0846,14.0846,12.2405
0.24,14.6969,14.6969,12.7175
0.25,15.3093,15.3093,13.1934
0.26,15.9217,15.9217,13.6684
0.27,16.5341,16.5341,14.1424
0.28,17.1464,17.1464,14.6154
0.29,17.7588,17.7588,15.0875
0.3,18.3712,18.3712,15.5585
0.31,18.9835,18.9835,16.0286
0.32,19.5959,19.5959,16.4977
0.33,20.2083,20.2083,16.9658
0.34,20.8207,20.8207,17.433
0.35,21.433,21.433,17.8991
0.36,22.0454,22.0454,18.3643
0.37,22.6578,22.6578,18.8285
0.38,23.2702,23.2701,19.2917
0.39,23.8825,23.8825,19.7539
0.4,24.4949,24.4949,20.2152
0.41,25.1073,25.1073,20.6755
0.42,25.7196,25.7196,21.1348
0.43,26.332,26.332,21.5931
0.44,26.9444,26.9444,22.0504
0.45,27.5568,27.5568,22.5067
0.46,28.1691,28.1691,22.9621
0.47,28.7815,28.7815,23.4165
0.48,29.3939,29.3939,23.8699
0.49,30.0062,30.0062,24.3223
0.5,30.6186,30.6186,24.7737
0.51,31.231,31.231,25.2242
0.52,31.8434,31.8434,25.6737
0.53,32.4557,32.4557,26.1222
0.54,33.0681,33.0681,26.5697
0.55,33.6805,33.6805,27.0162
0.56,34.2928,34.2928,27.4618
0.57,34.9052,34.9052,27.9064
0.58,35.5176,35.5176,28.3499
0.59,36.13,36.13,28.7926
0.6,36.7423,36.7423,29.2342
0.61,37.3547,37.3547,29.6748
0.62,37.9671,37.9671,30.1145
0.63,38.5795,38.5794,30.5532
0.64,39.1918,39.1918,30.9909
0.65,39.8042,39.8042,31.4276
0.66,40.4166,40.4166,31.8634
0.67,41.0289,41.0289,32.2981
0.68,41.6413,41.6413,32.7319
0.69,42.2537,42.2537,33.1647
0.7,42.8661,42.8661,33.5965
0.71,43.4784,43.4784,34.0274
0.72,44.0908,44.0908,34.4572
0.73,44.7032,44.7032,34.8861
0.74,45.3155,45.3155,35.314
0.75,45.9279,45.9279,35.7409
0.76,46.5403,46.5403,36.1669
0.77,47.1527,47.1527,36.5918
0.78,47.765,47.765,37.0158
0.79,48.3774,48.3774,37.4388
0.8,48.9898,48.9898,37.8608
0.81,49.6021,49.6021,38.2818
0.82,50.2145,50.2145,38.7019
0.83,50.8269,50.8269,39.1209
0.839999,51.4393,51.4393,39.539
0.849999,52.0516,52.0516,39.9561
0.859999,52.664,52.664,40.3722
0.869999,53.2764,53.2764,40.7874
0.879999,53.8888,53.8887,41.2015
0.889999,54.5011,54.5011,41.6147
0.899999,55.1135,55.1135,42.0269
0.909999,55.7259,55.7259,42.4381
0.919999,56.3382,56.3382,42.8484
0.929999,56.9506,56.9506,43.2576
0.939999,57.563,57.563,43.6659
0.949999,58.1754,58.1753,44.0732
0.959999,58.7877,58.7877,44.4795
0.969999,59.4001,59.4001,44.8849
0.979999,60.0125,60.0125,45.2892
0.989999,60.6248,60.6248,45.6926
0.999999,61.2372,61.2372,46.095
1.01,61.8496,61.8496,46.4964
1.02,62.462,62.462,46.8968
1.03,63.0743,63.0743,47.2963
1.04,63.6867,63.6867,47.6947
1.05,64.2991,64.2991,48.0922
1.06,64.9115,64.9114,48.4887
1.07,65.5238,65.5238,48.8842
1.08,66.1362,66.1362,49.2788
1.09,66.7486,66.7486,49.6723
1.1,67.3609,67.3609,50.0649
1.11,67.9733,67.9733,50.4565
1.12,68.5857,68.5857,50.8471
1.13,69.1981,69.198,51.2368
1.14,69.8104,69.8104,51.6254
1.15,70.4228,70.4228,52.0131
1.16,71.0352,71.0352,52.3998
1.17,71.6475,71.6475,52.7855
1.18,72.2599,72.2599,53.1702
1.19,72.8723,72.8723,53.554
1.2,73.4847,73.4846,53.9368
1.21,74.097,74.097,54.3186
1.22,74.7094,74.7094,54.6994
1.23,75.3218,75.3218,55.0792
1.24,75.9341,75.9341,55.458
1.25,76.5465,76.5465,55.8359
1.26,77.1589,77.1589,56.2128
1.27,77.7713,77.7713,56.5887
1.28,78.3836,78.3836,56.9636
1.29,78.996,78.996,57.3376
1.3,79.6084,79.6084,57.7105
1.31,80.2207,80.2207,58.0825
1.32,80.8331,80.8331,58.4535
1.33,81.4455,81.4455,58.8235
1.34,82.0579,82.0579,59.1925
1.35,82.6702,82.6702,59.5606
1.36,83.2826,83.2826,59.9277
1.37,83.895,83.895,60.2938
1.38,84.5074,84.5073,60.6589
1.39,85.1197,85.1197,61.023
1.4,85.7321,85.7321,61.3862
1.41,86.3445,86.3445,61.7483
1.42,86.9568,86.9568,62.1095
1.43,87.5692,87.5692,62.4697
1.44,88.1816,88.1816,62.829
1.45,88.794,88.7939,63.1872
1.46,89.4063,89.4063,63.5445
1.47,90.0187,90.0187,63.9007
1.48,90.6311,90.6311,64.256
1.49,91.2434,91.2434,64.6104
1.5,91.8558,91.8558,64.9637
1.51,92.4682,92.4682,65.3161
1.52,93.0806,93.0806,65.6674
1.53,93.6929,93.6929,66.0178
1.54,94.3053,94.3053,66.3673
1.55,94.9177,94.9177,66.7157
1.56,95.5301,95.53,67.0631
1.57,96.1424,96.1424,67.4096
1.58,96.7548,96.7548,67.7551
1.59,97.3672,97.3671,68.0996
1.6,97.9795,97.9795,68.4432
1.61,98.5919,98.5919,68.7857
1.62,99.2043,99.2043,69.1273
1.63,99.8167,99.8166,69.4679
1.64,100.429,100.429,69.8075
1.65,101.041,101.041,70.1461
1.66,101.654,101.654,70.4837
1.67,102.266,102.266,70.8204
1.68,102.879,102.879,71.1561
1.69,103.491,103.491,71.4908
1.7,104.103,104.103,71.8245
1.71,104.716,104.716,72.1572
1.72,105.328,105.328,72.489
1.73,105.94,105.94,72.8198
1.74,106.553,106.553,73.1496
1.75,107.165,107.165,73.4784
1.76,107.777,107.777,73.8062
1.77,108.39,108.39,74.1331
1.78,109.002,109.002,74.4589
1.79,109.615,109.615,74.7838
1.8,110.227,110.227,75.1077
1.81,110.839,110.839,75.4307
1.82,111.452,111.452,75.7526
1.83,112.064,112.064,76.0736
1.84,112.676,112.676,76.3936
1.85,113.289,113.289,76.7126
1.86,113.901,113.901,77.0306
1.87,114.514,114.514,77.3477
1.88,115.126,115.126,77.6637
1.89,115.738,115.738,77.9788
1.9,116.351,116.351,78.2929
1.91,116.963,116.963,78.606
1.92,117.575,117.575,78.9182
1.93,118.188,118.188,79.2293
1.94,118.8,118.8,79.5395
1.95,119.413,119.413,79.8487
1.96,120.025,120.025,80.1569
1.97,120.637,120.637,80.4641
1.98,121.25,121.25,80.7704
1.99,121.862,121.862,81.0757
2,122.474,122.474,81.3799
2.01,123.087,123.087,81.6833
2.02,123.699,123.699,81.9856
2.03,124.312,124.312,82.2869
2.04,124.924,124.924,82.5873
2.05,125.536,125.536,82.8867
2.06,126.149,126.149,83.1851
2.07,126.761,126.761,83.4825
2.08,127.373,127.373,83.779
2.09,127.986,127.986,84.0744
2.1,128.598,128.598,84.3689
2.11,129.211,129.21,84.6624
2.12,129.823,129.823,84.9549
2.13,130.435,130.435,85.2465
2.14,131.048,131.048,85.537
2.15,131.66,131.66,85.8266
2.16,132.272,132.272,86.1152
2.17,132.885,132.885,86.4028
2.18,133.497,133.497,86.6894
2.19,134.109,134.109,86.9751
2.2,134.722,134.722,87.2597
2.21,135.334,135.334,87.5434
2.22,135.947,135.947,87.8261
2.23,136.559,136.559,88.1079
2.24,137.171,137.171,88.3886
2.25,137.784,137.784,88.6684
2.26,138.396,138.396,88.9472
2.27,139.008,139.008,89.225
2.28,139.621,139.621,89.5018
2.29,140.233,140.233,89.7776
2.3,140.846,140.846,90.0525
2.31,141.458,141.458,90.3264
2.32,142.07,142.07,90.5993
2.33,142.683,142.683,90.8712
2.34,143.295,143.295,91.1421
2.35,143.907,143.907,91.4121
2.36,144.52,144.52,91.6811
2.37,145.132,145.132,91.9491
2.38,145.745,145.745,92.2161
2.39,146.357,146.357,92.4821
2.4,146.969,146.969,92.7471
2.41,147.582,147.582,93.0112
2.42,148.194,148.194,93.2743
2.43,148.806,148.806,93.5364
2.44,149.419,149.419,93.7975
2.45,150.031,150.031,94.0577
2.46,150.644,150.644,94.3168
2.47,151.256,151.256,94.575
2.48,151.868,151.868,94.8322
2.49,152.481,152.481,95.0884
2.5,153.093,153.093,95.3437
2.51,153.705,153.705,95.5979
2.52,154.318,154.318,95.8512
2.53,154.93,154.93,96.1035
2.54,155.543,155.542,96.3548
2.55,156.155,156.155,96.6052
2.56,156.767,156.767,96.8545
2.57,157.38,157.38,97.1029
2.58,157.992,157.992,97.3503
2.59,158.604,158.604,97.5967
2.6,159.217,159.217,97.8421
2.61,159.829,159.829,98.0866
2.62,160.441,160.441,98.3301
2.63,161.054,161.054,98.5725
2.64,161.666,161.666,98.8141
2.65,162.279,162.279,99.0546
2.66,162.891,162.891,99.2941
2.67,163.503,163.503,99.5327
2.68,164.116,164.116,99.7703
2.69,164.728,164.728,100.007
2.7,165.34,165.34,100.242
2.71,165.953,165.953,100.477
2.72,166.565,166.565,100.711
2.73,167.178,167.178,100.943
2.74,167.79,167.79,101.175
2.75,168.402,168.402,101.406
2.76,169.015,169.015,101.636
2.77,169.627,169.627,101.864
2.78,170.239,170.239,102.092
2.79,170.852,170.852,102.319
2.8,171.464,171.464,102.545
2.81,172.077,172.077,102.77
2.82,172.689,172.689,102.993
2.83,173.301,173.301,103.216
2.84,173.914,173.914,103.438
2.85,174.526,174.526,103.659
2.86,175.138,175.138,103.879
2.87,175.751,175.751,104.098
2.88,176.363,176.363,104.316
2.89,176.976,176.976,104.533
2.9,177.588,177.588,104.749
2.91,178.2,178.2,104.964
2.92,178.813,178.813,105.178
2.93,179.425,179.425,105.391
2.94,180.037,180.037,105.603
2.95,180.65,180.65,105.814
2.96,181.262,181.262,106.024
2.97,181.874,181.874,106.233
2.98,182.487,182.487,106.442
2.99,183.099,183.099,106.649
3,183.712,183.712,106.855
3.01,184.324,184.324,107.06
3.02,184.936,184.936,107.264
3.03,185.549,185.549,107.468
3.04,186.161,186.161,107.67
3.05,186.773,186.773,107.871
3.06,187.386,187.386,108.071
3.07,187.998,187.998,108.271
3.08,188.611,188.611,108.469
3.09,189.223,189.223,108.667
3.1,189.835,189.835,108.863
3.11,190.448,190.448,109.058
3.12,191.06,191.06,109.253
3.13,191.672,191.672,109.446
3.14,192.285,192.285,109.639
3.15,192.897,192.897,109.83
3.16,193.51,193.51,110.021
3.17,194.122,194.122,110.21
3.18,194.734,194.734,110.399
3.19,195.347,195.347,110.586
3.2,195.959,195.959,110.773
3.21,196.571,196.571,110.958
3.22,197.184,197.184,111.143
3.23,197.796,197.796,111.327
3.24,198.409,198.409,111.509
3.25,199.021,199.021,111.691
3.26,199.633,199.633,111.872
3.27,200.246,200.246,112.051
3.28,200.858,200.858,112.23
3.29,201.47,201.47,112.408
3.3,202.083,202.083,112.584
3.31,202.695,202.695,112.76
3.32,203.308,203.307,112.935
3.33,203.92,203.92,113.109
3.34,204.532,204.532,113.282
3.35,205.145,205.145,113.454
3.36,205.757,205.757,113.624
3.37,206.369,206.369,113.794
3.38,206.982,206.982,113.963
3.39,207.594,207.594,114.131
3.4,208.206,208.206,114.298
3.41,208.819,208.819,114.464
3.42,209.431,209.431,114.629
3.43,210.044,210.044,114.793
3.44,210.656,210.656,114.956
3.45,211.268,211.268,115.118
3.46,211.881,211.881,115.279
3.47,212.493,212.493,115.439
3.48,213.105,213.105,115.598
3.49,213.718,213.718,115.757
3.5,214.33,214.33,115.914
3.51,214.943,214.943,116.07
3.52,215.555,215.555,116.225
3.53,216.167,216.167,116.379
3.54,216.78,216.78,116.532
3.55,217.392,217.392,116.685
3.56,218.004,218.004,116.836
3.57,218.617,218.617,116.986
3.58,219.229,219.229,117.135
3.59,219.842,219.842,117.284
3.6,220.454,220.454,117.431
3.61,221.066,221.066,117.577
3.62,221.679,221.679,117.723
3.63,222.291,222.291,117.867
3.64,222.903,222.903,118.011
3.65,223.516,223.516,118.153
3.66,224.128,224.128,118.295
3.67,224.741,224.741,118.435
3.68,225.353,225.353,118.574
3.69,225.965,225.965,118.713
3.7,226.578,226.578,118.85
3.71,227.19,227.19,118.987
3.72,227.802,227.802,119.123
3.73,228.415,228.415,119.257
3.74,229.027,229.027,119.391
3.75,229.64,229.639,119.523
3.76,230.252,230.252,119.655
3.77,230.864,230.864,119.786
3.78,231.477,231.477,119.915
3.79,232.089,232.089,120.044
3.8,232.701,232.701,120.172
3.81,233.314,233.314,120.298
3.82,233.926,233.926,120.424
3.83,234.538,234.538,120.549
3.84,235.151,235.151,120.673
3.85,235.763,235.763,120.796
3.86,236.376,236.376,120.917
3.87,236.988,236.988,121.038
3.88,237.6,237.6,121.158
3.89,238.213,238.213,121.277
3.9,238.825,238.825,121.395
3.91,239.437,239.437,121.512
3.92,240.05,240.05,121.628
3.93,240.662,240.662,121.743
3.94,241.275,241.275,121.857
3.95,241.887,241.887,121.97
3.96,242.499,242.499,122.082
3.97,243.112,243.112,122.193
3.98,243.724,243.724,122.303
3.99,244.336,244.336,122.412
4,244.949,244.949,122.52
4.01,245.561,245.561,122.627
4.02,246.174,246.174,122.733
4.03,246.786,246.786,122.838
4.04,247.398,247.398,122.943
4.05,248.011,248.011,123.046
4.06,248.623,248.623,123.148
4.07,249.236,249.235,123.249
4.08,249.848,249.848,123.349
4.09,250.46,250.46,123.449
4.1,251.073,251.073,123.547
4.11,251.685,251.685,123.644
4.12,252.297,252.297,123.741
4.13,252.91,252.91,123.836
4.14,253.522,253.522,123.93
4.15,254.135,254.135,124.024
4.16,254.747,254.747,124.116
4.17,255.359,255.359,124.207
4.18,255.972,255.972,124.298
4.19,256.584,256.584,124.387
4.2,257.197,257.197,124.476
4.21,257.809,257.809,124.563
4.22,258.421,258.421,124.65
4.23,259.034,259.034,124.735
4.24,259.646,259.646,124.82
4.25,260.258,260.258,124.903
4.26,260.871,260.871,124.986
4.27,261.483,261.483,125.068
4.28,262.096,262.096,125.148
4.29,262.708,262.708,125.228
4.3,263.32,263.32,125.307
4.31,263.933,263.933,125.384
4.32,264.545,264.545,125.461
4.33,265.158,265.158,125.537
4.34,265.77,265.77,125.611
4.35,266.382,266.382,125.685
4.36,266.995,266.995,125.758
4.37001,267.607,267.607,125.83
4.38001,268.22,268.219,125.901
4.39001,268.832,268.832,125.97
4.40001,269.444,269.444,126.039
4.41001,270.057,270.057,126.107
4.42001,270.669,270.669,126.174
4.43001,271.281,271.281,126.24
4.44001,271.894,271.894,126.305
4.45001,272.506,272.506,126.369
4.46001,273.119,273.119,126.432
4.47001,273.731,273.731,126.494
4.48001,274.343,274.343,126.555
4.49001,274.956,274.956,126.615
4.50001,275.568,275.568,126.674
4.51001,276.181,276.181,126.732
4.52001,276.793,276.793,126.789
4.53001,277.405,277.405,126.845
4.54001,278.018,278.018,126.9
4.55001,278.63,278.63,126.954
4.56001,279.242,279.242,127.007
4.57001,279.855,279.855,127.06
4.58001,280.467,280.467,127.111
4.59001,281.08,281.08,127.161
4.60001,281.692,281.692,127.21
4.61001,282.304,282.304,127.258
4.62001,282.917,282.917,127.306
4.63001,283.529,283.529,127.352
4.64001,284.142,284.142,127.397
4.65001,284.754,284.754,127.442
4.66001,285.366,285.366,127.485
4.67001,285.979,285.979,127.527
4.68001,286.591,286.591,127.569
4.69001,287.203,287.203,127.609
4.70001,287.816,287.816,127.649
4.71001,288.428,288.428,127.687
4.72001,289.041,289.041,127.724
4.73001,289.653,289.653,127.761
4.74001,290.265,290.265,127.796
4.75001,290.878,290.878,127.831
4.76001,291.49,291.49,127.864
4.77001,292.103,292.103,127.897
4.78001,292.715,292.715,127.929
4.79001,293.327,293.327,127.959
4.80001,293.94,293.94,127.989
4.81002,294.552,294.552,128.017
4.82002,295.165,295.164,128.045
4.83002,295.777,295.777,128.072
4.84002,296.389,296.389,128.097
4.85002,297.002,297.002,128.122
4.86002,297.614,297.614,128.146
4.87002,298.226,298.226,128.169
4.88002,298.839,298.839,128.19
4.89002,299.451,299.451,128.211
4.90002,300.064,300.064,128.231
4.91002,300.676,300.676,128.25
4.92002,301.288,301.288,128.268
4.93002,301.901,301.901,128.284
4.94002,302.513,302.513,128.3
4.95002,303.126,303.125,128.315
4.96002,303.738,303.738,128.329
4.97002,304.35,304.35,128.342
4.98002,304.963,304.963,128.354
4.99002,305.575,305.575,128.365
5.00002,306.187,306.187,128.375
5.01002,306.8,306.8,128.384
5.02002,307.412,307.412,128.392
5.03002,308.025,308.025,128.399
5.04002,308.637,308.637,128.405
5.05002,309.249,309.249,128.41
5.06002,309.862,309.862,128.414
5.07002,310.474,310.474,128.417
5.08002,311.087,311.087,128.42
5.09002,311.699,311.699,128.421
5.10002,312.311,312.311,128.421
5.11002,312.924,312.924,128.42
5.12002,313.536,313.536,128.418
5.13002,314.148,314.148,128.416
5.14002,314.761,314.761,128.412
5.15002,315.373,315.373,128.407
5.16002,315.986,315.986,128.401
5.17002,316.598,316.598,128.395
5.18002,317.21,317.21,128.387
5.19002,317.823,317.823,128.378
5.20002,318.435,318.435,128.369
5.21002,319.048,319.048,128.358
5.22002,319.66,319.66,128.347
5.23002,320.272,320.272,128.334
5.24003,320.885,320.885,128.32
5.25003,321.497,321.497,128.306
5.26003,322.11,322.109,128.29
5.27003,322.722,322.722,128.274
5.28003,323.334,323.334,128.256
5.29003,323.947,323.947,128.238
5.30003,324.559,324.559,128.218
5.31003,325.171,325.171,128.198
5.32003,325.784,325.784,128.177
5.33003,326.396,326.396,128.154
5.34003,327.009,327.009,128.131
5.35003,327.621,327.621,128.107
5.36003,328.233,328.233,128.081
5.37003,328.846,328.846,128.055
5.38003,329.458,329.458,128.028
5.39003,330.071,330.07,127.999
5.40003,330.683,330.683,127.97
5.41003,331.295,331.295,127.94
5.42003,331.908,331.908,127.909
5.43003,332.52,332.52,127.876
5.44003,333.132,333.132,127.843
5.45003,333.745,333.745,127.809
5.46003,334.357,334.357,127.774
5.47003,334.97,334.97,127.738
5.48003,335.582,335.582,127.701
5.49003,336.194,336.194,127.663
5.50003,336.807,336.807,127.624
5.51003,337.419,337.419,127.584
5.52003,338.032,338.032,127.543
5.53003,338.644,338.644,127.501
5.54003,339.256,339.256,127.458
5.55003,339.869,339.869,127.414
5.56003,340.481,340.481,127.369
5.57003,341.094,341.093,127.323
5.58003,341.706,341.706,127.276
5.59003,342.318,342.318,127.228
5.60003,342.931,342.931,127.179
5.61003,343.543,343.543,127.129
5.62003,344.155,344.155,127.078
5.63003,344.768,344.768,127.027
5.64003,345.38,345.38,126.974
5.65003,345.993,345.993,126.92
5.66003,346.605,346.605,126.865
5.67003,347.217,347.217,126.809
5.68004,347.83,347.83,126.753
5.69004,348.442,348.442,126.695
5.70004,349.055,349.054,126.636
5.71004,349.667,349.667,126.577
5.72004,350.279,350.279,126.516
5.73004,350.892,350.892,126.454
5.74004,351.504,351.504,126.392
5.75004,352.116,352.116,126.328
5.76004,352.729,352.729,126.264
5.77004,353.341,353.341,126.198
5.78004,353.954,353.954,126.132
5.79004,354.566,354.566,126.064
5.80004,355.178,355.178,125.995
5.81004,355.791,355.791,125.926
5.82004,356.403,356.403,125.856
5.83004,357.016,357.016,125.784
5.84004,357.628,357.628,125.712
5.85004,358.24,358.24,125.638
5.86004,358.853,358.853,125.564
5.87004,359.465,359.465,125.489
5.88004,360.077,360.077,125.412
5.89004,360.69,360.69,125.335
5.90004,361.302,361.302,125.257
5.91004,361.915,361.915,125.177
5.92004,362.527,362.527,125.097
5.93004,363.139,363.139,125.016
5.94004,363.752,363.752,124.934
5.95004,364.364,364.364,124.85
5.96004,364.977,364.977,124.766
5.97004,365.589,365.589,124.681
5.98004,366.201,366.201,124.595
5.99004,366.814,366.814,124.508
6.00004,367.426,367.426,124.42
6.01004,368.039,368.038,124.33
6.02004,368.651,368.651,124.24
6.03004,369.263,369.263,124.149
6.04004,369.876,369.876,124.057
6.05004,370.488,370.488,123.964
6.06004,371.1,371.1,123.87
6.07004,371.713,371.713,123.775
6.08004,372.325,372.325,123.679
6.09004,372.938,372.938,123.582
6.10004,373.55,373.55,123.484
6.11004,374.162,374.162,123.386
6.12005,374.775,374.775,123.286
6.13005,375.387,375.387,123.185
6.14005,376,375.999,123.083
6.15005,376.612,376.612,122.98
6.16005,377.224,377.224,122.876
6.17005,377.837,377.837,122.772
6.18005,378.449,378.449,122.666
6.19005,379.061,379.061,122.559
6.20005,379.674,379.674,122.451
6.21005,380.286,380.286,122.343
6.22005,380.899,380.899,122.233
6.23005,381.511,381.511,122.122
6.24005,382.123,382.123,122.01
6.25005,382.736,382.736,121.898
6.26005,383.348,383.348,121.784
6.27005,383.961,383.961,121.67
6.28005,384.573,384.573,121.554
6.29005,385.185,385.185,121.438
6.30005,385.798,385.798,121.32
6.31005,386.41,386.41,121.201
6.32005,387.022,387.022,121.082
6.33005,387.635,387.635,120.961
6.34005,388.247,388.247,120.84
6.35005,388.86,388.86,120.717
6.36005,389.472,389.472,120.594
6.37005,390.084,390.084,120.47
6.38005,390.697,390.697,120.344
6.39005,391.309,391.309,120.218
6.40005,391.922,391.922,120.091
6.41005,392.534,392.534,119.962
6.42005,393.146,393.146,119.833
6.43005,393.759,393.759,119.703
6.44005,394.371,394.371,119.571
6.45005,394.984,394.983,119.439
6.46005,395.596,395.596,119.306
6.47005,396.208,396.208,119.172
6.48005,396.821,396.821,119.036
6.49005,397.433,397.433,118.9
6.50005,398.045,398.045,118.763
6.51005,398.658,398.658,118.625
6.52005,399.27,399.27,118.486
6.53005,399.883,399.883,118.346
6.54005,400.495,400.495,118.204
6.55006,401.107,401.107,118.062
6.56006,401.72,401.72,117.919
6.57006,402.332,402.332,117.775
